"subject","activity","settype","variable","V1"
"1309",24,"STANDING","test data","tGravityAcc-mean()-Y",-0.145201300942029
"1310",24,"SITTING","test data","tGravityAcc-mean()-Y",0.182254651955882
"1311",24,"LAYING","test data","tGravityAcc-mean()-Y",0.738430699305556
"1312",24,"WALKING","test data","tGravityAcc-mean()-Y",-0.115116241810345
"1313",24,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Y",-0.128326710927273
"1314",24,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Y",-0.237498409152542
"1315",1,"STANDING","training data","tGravityAcc-mean()-Y",-0.272983832264151
"1316",1,"SITTING","training data","tGravityAcc-mean()-Y",0.204411592680851
"1317",1,"LAYING","training data","tGravityAcc-mean()-Y",0.70554977346
"1318",1,"WALKING","training data","tGravityAcc-mean()-Y",-0.282165021263158
"1319",1,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.266610338979592
"1320",1,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.362153364339623
"1321",3,"STANDING","training data","tGravityAcc-mean()-Y",-0.301735130327869
"1322",3,"SITTING","training data","tGravityAcc-mean()-Y",0.127303379245962
"1323",3,"LAYING","training data","tGravityAcc-mean()-Y",0.837032099677419
"1324",3,"WALKING","training data","tGravityAcc-mean()-Y",-0.261986357931034
"1325",3,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.228829214285714
"1326",3,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.382851153728814
"1327",5,"STANDING","training data","tGravityAcc-mean()-Y",-0.03871012665
"1328",5,"SITTING","training data","tGravityAcc-mean()-Y",0.168445524
"1329",5,"LAYING","training data","tGravityAcc-mean()-Y",0.954890346153846
"1330",5,"WALKING","training data","tGravityAcc-mean()-Y",-0.100440285303571
"1331",5,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.0607578318319149
"1332",5,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.265942569148936
"1333",6,"STANDING","training data","tGravityAcc-mean()-Y",-0.230251036140351
"1334",6,"SITTING","training data","tGravityAcc-mean()-Y",0.0682628663363636
"1335",6,"LAYING","training data","tGravityAcc-mean()-Y",0.956593814210526
"1336",6,"WALKING","training data","tGravityAcc-mean()-Y",-0.214694852280702
"1337",6,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.214046334375
"1338",6,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.340732608823529
"1339",7,"STANDING","training data","tGravityAcc-mean()-Y",-0.117607048924528
"1340",7,"SITTING","training data","tGravityAcc-mean()-Y",0.00608846646041667
"1341",7,"LAYING","training data","tGravityAcc-mean()-Y",0.393444278076923
"1342",7,"WALKING","training data","tGravityAcc-mean()-Y",-0.159097003684211
"1343",7,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.12987167306383
"1344",7,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.240950944117647
"1345",8,"STANDING","training data","tGravityAcc-mean()-Y",-0.0904603488214815
"1346",8,"SITTING","training data","tGravityAcc-mean()-Y",0.240095117065217
"1347",8,"LAYING","training data","tGravityAcc-mean()-Y",0.589922434814815
"1348",8,"WALKING","training data","tGravityAcc-mean()-Y",-0.217102194583333
"1349",8,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.187610243421053
"1350",8,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.291341491707317
"1351",11,"STANDING","training data","tGravityAcc-mean()-Y",-0.173082704680851
"1352",11,"SITTING","training data","tGravityAcc-mean()-Y",0.213716305739623
"1353",11,"LAYING","training data","tGravityAcc-mean()-Y",0.943017941403509
"1354",11,"WALKING","training data","tGravityAcc-mean()-Y",-0.212045870169492
"1355",11,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.200321942608696
"1356",11,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.343576924814815
"1357",14,"STANDING","training data","tGravityAcc-mean()-Y",-0.226692231166667
"1358",14,"SITTING","training data","tGravityAcc-mean()-Y",-0.0364533962277778
"1359",14,"LAYING","training data","tGravityAcc-mean()-Y",0.48539692745098
"1360",14,"WALKING","training data","tGravityAcc-mean()-Y",-0.270314822881356
"1361",14,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.264254674666667
"1362",14,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.322680364814815
"1363",15,"STANDING","training data","tGravityAcc-mean()-Y",-0.164713175490566
"1364",15,"SITTING","training data","tGravityAcc-mean()-Y",0.210849305016949
"1365",15,"LAYING","training data","tGravityAcc-mean()-Y",0.899242553055556
"1366",15,"WALKING","training data","tGravityAcc-mean()-Y",-0.233918282592593
"1367",15,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.167462317142857
"1368",15,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.3149610125
"1369",16,"STANDING","training data","tGravityAcc-mean()-Y",-0.0578867045
"1370",16,"SITTING","training data","tGravityAcc-mean()-Y",-0.086588253942029
"1371",16,"LAYING","training data","tGravityAcc-mean()-Y",-0.0199270225714286
"1372",16,"WALKING","training data","tGravityAcc-mean()-Y",-0.0668246472745098
"1373",16,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.0584832676382979
"1374",16,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.0805926025490196
"1375",17,"STANDING","training data","tGravityAcc-mean()-Y",-0.257486817948718
"1376",17,"SITTING","training data","tGravityAcc-mean()-Y",-0.002814673171875
"1377",17,"LAYING","training data","tGravityAcc-mean()-Y",0.658792072253521
"1378",17,"WALKING","training data","tGravityAcc-mean()-Y",-0.179927382704918
"1379",17,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.151077057652174
"1380",17,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.284153753333333
"1381",19,"STANDING","training data","tGravityAcc-mean()-Y",-0.223897807808219
"1382",19,"SITTING","training data","tGravityAcc-mean()-Y",0.360343534657534
"1383",19,"LAYING","training data","tGravityAcc-mean()-Y",0.725646622771084
"1384",19,"WALKING","training data","tGravityAcc-mean()-Y",-0.2233381
"1385",19,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.215018042307692
"1386",19,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.3871007085
"1387",21,"STANDING","training data","tGravityAcc-mean()-Y",-0.346155558876404
"1388",21,"SITTING","training data","tGravityAcc-mean()-Y",0.0215206708823529
"1389",21,"LAYING","training data","tGravityAcc-mean()-Y",0.599992678
"1390",21,"WALKING","training data","tGravityAcc-mean()-Y",-0.370984549423077
"1391",21,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.356673289555556
"1392",21,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.432309617446809
"1393",22,"STANDING","training data","tGravityAcc-mean()-Y",-0.226418773650794
"1394",22,"SITTING","training data","tGravityAcc-mean()-Y",0.208553884
"1395",22,"LAYING","training data","tGravityAcc-mean()-Y",0.632484075694444
"1396",22,"WALKING","training data","tGravityAcc-mean()-Y",-0.259644937173913
"1397",22,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.222215179444444
"1398",22,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.33682691
"1399",23,"STANDING","training data","tGravityAcc-mean()-Y",-0.117401359697059
"1400",23,"SITTING","training data","tGravityAcc-mean()-Y",0.1217510625
"1401",23,"LAYING","training data","tGravityAcc-mean()-Y",0.438434067361111
"1402",23,"WALKING","training data","tGravityAcc-mean()-Y",-0.16176137
"1403",23,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.110028841648148
"1404",23,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.214481808235294
"1405",25,"STANDING","training data","tGravityAcc-mean()-Y",-0.159316786486486
"1406",25,"SITTING","training data","tGravityAcc-mean()-Y",0.208287142261538
"1407",25,"LAYING","training data","tGravityAcc-mean()-Y",0.620658919917808
"1408",25,"WALKING","training data","tGravityAcc-mean()-Y",-0.127315870743243
"1409",25,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.0724270175862069
"1410",25,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.217641282461538
"1411",26,"STANDING","training data","tGravityAcc-mean()-Y",-0.140315421824324
"1412",26,"SITTING","training data","tGravityAcc-mean()-Y",0.223105562025641
"1413",26,"LAYING","training data","tGravityAcc-mean()-Y",0.803015011578947
"1414",26,"WALKING","training data","tGravityAcc-mean()-Y",-0.133922185084746
"1415",26,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.0799003729
"1416",26,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.246169656181818
"1417",27,"STANDING","training data","tGravityAcc-mean()-Y",-0.188504847375
"1418",27,"SITTING","training data","tGravityAcc-mean()-Y",0.212947021371429
"1419",27,"LAYING","training data","tGravityAcc-mean()-Y",0.567879494054054
"1420",27,"WALKING","training data","tGravityAcc-mean()-Y",-0.187497034561404
"1421",27,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.166938774772727
"1422",27,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.229278659607843
"1423",28,"STANDING","training data","tGravityAcc-mean()-Y",-0.247656166582278
"1424",28,"SITTING","training data","tGravityAcc-mean()-Y",-0.112596728361111
"1425",28,"LAYING","training data","tGravityAcc-mean()-Y",0.1440732745
"1426",28,"WALKING","training data","tGravityAcc-mean()-Y",-0.229316151481481
"1427",28,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.235897105217391
"1428",28,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.333223996666667
"1429",29,"STANDING","training data","tGravityAcc-mean()-Y",-0.05848715356
"1430",29,"SITTING","training data","tGravityAcc-mean()-Y",0.1556594569
"1431",29,"LAYING","training data","tGravityAcc-mean()-Y",0.807535373478261
"1432",29,"WALKING","training data","tGravityAcc-mean()-Y",-0.127318078679245
"1433",29,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.0760962952291667
"1434",29,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.227120125306122
"1435",30,"STANDING","training data","tGravityAcc-mean()-Y",-0.100296804186441
"1436",30,"SITTING","training data","tGravityAcc-mean()-Y",0.114588392624871
"1437",30,"LAYING","training data","tGravityAcc-mean()-Y",0.732661247714286
"1438",30,"WALKING","training data","tGravityAcc-mean()-Y",-0.157673823846154
"1439",30,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Y",-0.126710371903226
"1440",30,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Y",-0.226647292153846
"1441",2,"STANDING","test data","tGravityAcc-mean()-Z",0.129747161222222
"1442",2,"SITTING","test data","tGravityAcc-mean()-Z",0.19872676876087
"1443",2,"LAYING","test data","tGravityAcc-mean()-Z",0.646834879583333
"1444",2,"WALKING","test data","tGravityAcc-mean()-Z",0.0847270871186441
"1445",2,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",-0.0438890162723404
"1446",2,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",-0.195888238891667
"1447",4,"STANDING","test data","tGravityAcc-mean()-Z",0.166893825946429
"1448",4,"SITTING","test data","tGravityAcc-mean()-Z",0.11012048108
"1449",4,"LAYING","test data","tGravityAcc-mean()-Z",0.341531310555556
"1450",4,"WALKING","test data","tGravityAcc-mean()-Z",0.127764112666667
"1451",4,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",0.148714808888889
"1452",4,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",0.0841675382884615
"1453",9,"STANDING","test data","tGravityAcc-mean()-Z",0.00914769235555555
"1454",9,"SITTING","test data","tGravityAcc-mean()-Z",0.085263099144
"1455",9,"LAYING","test data","tGravityAcc-mean()-Z",0.9578730416
"1456",9,"WALKING","test data","tGravityAcc-mean()-Z",-0.115856121080385
"1457",9,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",-0.082276174942619
"1458",9,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",-0.266009866857143
"1459",10,"STANDING","test data","tGravityAcc-mean()-Z",0.0346980210431818
"1460",10,"SITTING","test data","tGravityAcc-mean()-Z",0.20253457287037
"1461",10,"LAYING","test data","tGravityAcc-mean()-Z",-0.031121624137931
"1462",10,"WALKING","test data","tGravityAcc-mean()-Z",0.0549276242264151
"1463",10,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",0.0418715409263158
"1464",10,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",0.0227527702016383
"1465",12,"STANDING","test data","tGravityAcc-mean()-Z",-0.0395382767304918
"1466",12,"SITTING","test data","tGravityAcc-mean()-Z",0.0885640696078431
"1467",12,"LAYING","test data","tGravityAcc-mean()-Z",0.2750431984
"1468",12,"WALKING","test data","tGravityAcc-mean()-Z",-0.03608428788
"1469",12,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",-0.0561050624630435
"1470",12,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",-0.0702503820961538
"1471",13,"STANDING","test data","tGravityAcc-mean()-Z",-0.0524856614035088
"1472",13,"SITTING","test data","tGravityAcc-mean()-Z",0.0757773858163265
"1473",13,"LAYING","test data","tGravityAcc-mean()-Z",0.598884988709677
"1474",13,"WALKING","test data","tGravityAcc-mean()-Z",-0.131299718666667
"1475",13,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",-0.0950820341687234
"1476",13,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",-0.207507170584727
"1477",18,"STANDING","test data","tGravityAcc-mean()-Z",-0.0485767106575342
"1478",18,"SITTING","test data","tGravityAcc-mean()-Z",0.161877417894737
"1479",18,"LAYING","test data","tGravityAcc-mean()-Z",0.605495317692308
"1480",18,"WALKING","test data","tGravityAcc-mean()-Z",-0.0609313415892857
"1481",18,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",-0.0493636733454545
"1482",18,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",-0.106112549189655
"1483",20,"STANDING","test data","tGravityAcc-mean()-Z",0.0708655286023288
"1484",20,"SITTING","test data","tGravityAcc-mean()-Z",0.151679135228788
"1485",20,"LAYING","test data","tGravityAcc-mean()-Z",0.477573305
"1486",20,"WALKING","test data","tGravityAcc-mean()-Z",-0.035130214
"1487",20,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",-0.0282591579777778
"1488",20,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",-0.130117634791765
"1489",24,"STANDING","test data","tGravityAcc-mean()-Z",-0.0530585403536232
"1490",24,"SITTING","test data","tGravityAcc-mean()-Z",0.109559621020588
"1491",24,"LAYING","test data","tGravityAcc-mean()-Z",0.683839909722222
"1492",24,"WALKING","test data","tGravityAcc-mean()-Z",-0.140910029827586
"1493",24,"WALKING_DOWNSTAIRS","test data","tGravityAcc-mean()-Z",-0.140123155018182
"1494",24,"WALKING_UPSTAIRS","test data","tGravityAcc-mean()-Z",-0.227134869152542
"1495",1,"STANDING","training data","tGravityAcc-mean()-Z",0.0134905823226415
"1496",1,"SITTING","training data","tGravityAcc-mean()-Z",0.332043702765957
"1497",1,"LAYING","training data","tGravityAcc-mean()-Z",0.4458177198
"1498",1,"WALKING","training data","tGravityAcc-mean()-Z",-0.068102864
"1499",1,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.0621199585938775
"1500",1,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.075402939754717
"1501",3,"STANDING","training data","tGravityAcc-mean()-Z",0.024763106752459
"1502",3,"SITTING","training data","tGravityAcc-mean()-Z",0.139020582461538
"1503",3,"LAYING","training data","tGravityAcc-mean()-Z",0.48870318516129
"1504",3,"WALKING","training data","tGravityAcc-mean()-Z",-0.138107866258621
"1505",3,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.102352758040816
"1506",3,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.162943955254237
"1507",5,"STANDING","training data","tGravityAcc-mean()-Z",0.138638436607143
"1508",5,"SITTING","training data","tGravityAcc-mean()-Z",0.143006857611364
"1509",5,"LAYING","training data","tGravityAcc-mean()-Z",0.263644691923077
"1510",5,"WALKING","training data","tGravityAcc-mean()-Z",0.00247623628392857
"1511",5,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",0.0216777910246191
"1512",5,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.0232035364248936
"1513",6,"STANDING","training data","tGravityAcc-mean()-Z",0.0139193473596491
"1514",6,"SITTING","training data","tGravityAcc-mean()-Z",0.0695219657167273
"1515",6,"LAYING","training data","tGravityAcc-mean()-Z",0.175867709021053
"1516",6,"WALKING","training data","tGravityAcc-mean()-Z",0.0331888826842105
"1517",6,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.00307981704708333
"1518",6,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.0184608964392157
"1519",7,"STANDING","training data","tGravityAcc-mean()-Z",-0.0516573721320755
"1520",7,"SITTING","training data","tGravityAcc-mean()-Z",0.0649636250354167
"1521",7,"LAYING","training data","tGravityAcc-mean()-Z",0.907537823461538
"1522",7,"WALKING","training data","tGravityAcc-mean()-Z",-0.160846924029807
"1523",7,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.154935538544681
"1524",7,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.403599709607843
"1525",8,"STANDING","training data","tGravityAcc-mean()-Z",-0.0979392024814815
"1526",8,"SITTING","training data","tGravityAcc-mean()-Z",0.263895185521739
"1527",8,"LAYING","training data","tGravityAcc-mean()-Z",0.719831539259259
"1528",8,"WALKING","training data","tGravityAcc-mean()-Z",-0.186267836962021
"1529",8,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.141817934963684
"1530",8,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.192306960631707
"1531",11,"STANDING","training data","tGravityAcc-mean()-Z",0.127198423404255
"1532",11,"SITTING","training data","tGravityAcc-mean()-Z",0.188531695981132
"1533",11,"LAYING","training data","tGravityAcc-mean()-Z",0.112620189964912
"1534",11,"WALKING","training data","tGravityAcc-mean()-Z",0.134053215101695
"1535",11,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",0.132371684891304
"1536",11,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",0.146633747092593
"1537",14,"STANDING","training data","tGravityAcc-mean()-Z",-0.338174888666667
"1538",14,"SITTING","training data","tGravityAcc-mean()-Z",-0.0945970534814815
"1539",14,"LAYING","training data","tGravityAcc-mean()-Z",0.83656291
"1540",14,"WALKING","training data","tGravityAcc-mean()-Z",-0.422495268474576
"1541",14,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.392555882222222
"1542",14,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.49508872037037
"1543",15,"STANDING","training data","tGravityAcc-mean()-Z",0.0645975994528302
"1544",15,"SITTING","training data","tGravityAcc-mean()-Z",0.00281565980440678
"1545",15,"LAYING","training data","tGravityAcc-mean()-Z",-0.0369192905555556
"1546",15,"WALKING","training data","tGravityAcc-mean()-Z",0.0757356734814815
"1547",15,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",0.0788822410992857
"1548",15,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",0.0811803405
"1549",16,"STANDING","training data","tGravityAcc-mean()-Z",-0.166737468166667
"1550",16,"SITTING","training data","tGravityAcc-mean()-Z",0.0892682200463768
"1551",16,"LAYING","training data","tGravityAcc-mean()-Z",0.893884468571429
"1552",16,"WALKING","training data","tGravityAcc-mean()-Z",-0.217351194313725
"1553",16,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.225382496382979
"1554",16,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.379059698039216
"1555",17,"STANDING","training data","tGravityAcc-mean()-Z",-0.202687757012821
"1556",17,"SITTING","training data","tGravityAcc-mean()-Z",-0.135803881679687
"1557",17,"LAYING","training data","tGravityAcc-mean()-Z",0.722657502112676
"1558",17,"WALKING","training data","tGravityAcc-mean()-Z",-0.190265949622951
"1559",17,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.160962985956522
"1560",17,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.298171464166667
"1561",19,"STANDING","training data","tGravityAcc-mean()-Z",0.130643717849315
"1562",19,"SITTING","training data","tGravityAcc-mean()-Z",0.489126594657534
"1563",19,"LAYING","training data","tGravityAcc-mean()-Z",0.68762385253012
"1564",19,"WALKING","training data","tGravityAcc-mean()-Z",-0.0898428797307692
"1565",19,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.126146868942821
"1566",19,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.2210087627
"1567",21,"STANDING","training data","tGravityAcc-mean()-Z",-0.207685689775281
"1568",21,"SITTING","training data","tGravityAcc-mean()-Z",-0.0567766060705882
"1569",21,"LAYING","training data","tGravityAcc-mean()-Z",0.788251027111111
"1570",21,"WALKING","training data","tGravityAcc-mean()-Z",-0.220947960192308
"1571",21,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.187870253333333
"1572",21,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.309735038510638
"1573",22,"STANDING","training data","tGravityAcc-mean()-Z",0.0323824977714286
"1574",22,"SITTING","training data","tGravityAcc-mean()-Z",0.315551492322581
"1575",22,"LAYING","training data","tGravityAcc-mean()-Z",0.771903907083333
"1576",22,"WALKING","training data","tGravityAcc-mean()-Z",0.0233780056086957
"1577",22,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",0.0412987957222222
"1578",22,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.0957978990316667
"1579",23,"STANDING","training data","tGravityAcc-mean()-Z",-0.223631180906765
"1580",23,"SITTING","training data","tGravityAcc-mean()-Z",0.0630111556279412
"1581",23,"LAYING","training data","tGravityAcc-mean()-Z",0.918782825277778
"1582",23,"WALKING","training data","tGravityAcc-mean()-Z",-0.160763360338983
"1583",23,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.153671532259259
"1584",23,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.35593445
"1585",25,"STANDING","training data","tGravityAcc-mean()-Z",0.201182106486486
"1586",25,"SITTING","training data","tGravityAcc-mean()-Z",0.167140956385077
"1587",25,"LAYING","training data","tGravityAcc-mean()-Z",0.526353818315068
"1588",25,"WALKING","training data","tGravityAcc-mean()-Z",0.188416273486486
"1589",25,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",0.21879595837931
"1590",25,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",0.108230986684615
"1591",26,"STANDING","training data","tGravityAcc-mean()-Z",0.0884142682297297
"1592",26,"SITTING","training data","tGravityAcc-mean()-Z",0.314387627435897
"1593",26,"LAYING","training data","tGravityAcc-mean()-Z",0.614523405921053
"1594",26,"WALKING","training data","tGravityAcc-mean()-Z",0.108738699508475
"1595",26,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",0.1539063202
"1596",26,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.00199310572363636
"1597",27,"STANDING","training data","tGravityAcc-mean()-Z",-0.00557416876082625
"1598",27,"SITTING","training data","tGravityAcc-mean()-Z",0.276417431042857
"1599",27,"LAYING","training data","tGravityAcc-mean()-Z",0.84539238027027
"1600",27,"WALKING","training data","tGravityAcc-mean()-Z",-0.126210937305263
"1601",27,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.140047614122727
"1602",27,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.294642640196078
"1603",28,"STANDING","training data","tGravityAcc-mean()-Z",-0.0385830501632911
"1604",28,"SITTING","training data","tGravityAcc-mean()-Z",0.135402566816667
"1605",28,"LAYING","training data","tGravityAcc-mean()-Z",0.0157570025
"1606",28,"WALKING","training data","tGravityAcc-mean()-Z",-0.125912861222222
"1607",28,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",-0.121477255782609
"1608",28,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",-0.265207858431373
"1609",29,"STANDING","training data","tGravityAcc-mean()-Z",0.0316145849747692
"1610",29,"SITTING","training data","tGravityAcc-mean()-Z",0.286256063666667
"1611",29,"LAYING","training data","tGravityAcc-mean()-Z",0.590452224057971
"1612",29,"WALKING","training data","tGravityAcc-mean()-Z",0.0955792142264151
"1613",29,"WALKING_DOWNSTAIRS","training data","tGravityAcc-mean()-Z",0.0919650454166667
"1614",29,"WALKING_UPSTAIRS","training data","tGravityAcc-mean()-Z",0.0443786011771429
"1615",30,"STANDING","training data","tGravityAcc-mean()-Z",0.0243044362542373
"1616",30,"SITTING","training data","tGravityAcc-mean()-Z",0.34476602
"1617",30,"LAYING","training data","tGravityAcc-mean()-Z",0.681459210714286
"1618",30,"WALKING","training data","tGravityAcc-mean()-Z",-0.00392556384476923
